Domain Name	Brand	Extension	Country	Registration Date	Registry Expiry Date	Business Unit	Status	DNS Type	CSC MultiLock On	MultiLock Effective Date	Forwarding	Redirect Type	New GTLD	Masked	Using CSC Agent	Reg Profile Name	Reg First Name	Reg Last Name	Reg Organization	Reg Address	Reg Address 2	Reg City	Reg State/Province	Reg Postal Code	Reg Country	Reg Email	Reg Phone	Reg Fax	Admin Profile Name	Admin First Name	Admin Last Name	Admin Organization	Admin Address	Admin Address 2	Admin City	Admin State/Province	Admin Postal Code	Admin Country	Admin Email	Admin Phone	Admin Fax	Tech Profile Name	Tech First Name	Tech Last Name	Tech Organization	Tech Address	Tech Address 2	Tech City	Tech State/Province	Tech Postal Code	Tech Country	Tech Email	Tech Phone	Tech Fax	IDN Translation	Local Language	DNSSEC enabled	DNS 1	DNS 2	DNS 3	DNS 4	DNS 5	Purchase Order Number	Billing Code
1003latinomix.com	 	com	gTLD	04-Sep-2014	04-Sep-2015	HBC-Radio	Active	Basic DNS	No	 	No	N/A	No	Yes	No	Clean-Univision Communications	Univision	Communications Inc.	Univision Communications, Inc.	605 Third Avenue, 26th Floor	 	New York	NY	10158	US	dnsadmin@us.univision.com	+1.6464875900 	 	Univision Communications-Admin	Infrastructure	Group	Univision Communications, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+1.6464875600 	+1.6464875600	Univision Communications-Admin	Infrastructure	Group	Univision Communications, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+1.6464875600 	+1.6464875600	 		Not verified	dns1.cscdns.net	dns2.cscdns.net	 	 	 		
1003masvariedad.com	 	com	gTLD	18-Jul-2013	18-Jul-2016	HBC-Radio	Active	Basic DNS	No	 	No	N/A	No	No	No	Clean-Univision Communications	Univision	Communications Inc.	Univision Communications, Inc.	605 Third Avenue, 26th Floor	 	New York	NY	10158	US	dnsadmin@us.univision.com	+1.6464875900 	 	Univision Communications-Admin	Infrastructure	Group	Univision Communications, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+646.4875600 	 	 	DNS	Administrator	CSC Corporate Domains, Inc.	2711 Centerville Rd.	 	Wilmington	DE	19808	US	dns-admin@cscglobal.com	1.3026365400 	1.3026365454	 		Not verified	a4.nstld.com	f4.nstld.com	g4.nstld.com	l4.nstld.com	 		
1003phoenix.com	 	com	gTLD	10-Mar-2014	10-Mar-2016	HBC-Radio	Active	Basic DNS	No	 	No	N/A	No	No	No	Clean-Univision Communications	Univision	Communications Inc.	Univision Communications, Inc.	605 Third Avenue, 26th Floor	 	New York	NY	10158	US	dnsadmin@us.univision.com	+1.6464875900 	 	Univision Communications-Admin	Infrastructure	Group	Univision Communications, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+646.4875600 	 	Univision Communications-Admin	Infrastructure	Group	Univision Communications, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+646.4875600 	 	 		Not verified	dns1.cscdns.net	dns2.cscdns.net	 	 	 		
1019elrey.com	 	com	gTLD	01-Oct-2010	01-Oct-2015	HBC-Radio	Active	Basic DNS	No	 	No	N/A	No	No	No	Clean-Univision Communications	Univision	Communications Inc.	Univision Communications, Inc.	605 Third Avenue, 26th Floor	 	New York	NY	10158	US	dnsadmin@us.univision.com	+1.6464875900 	 	Univision Communications-Admin	Infrastructure	Group	Univision Communications, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+646.4875600 	 	 	DNS	Administrator	CSC Corporate Domains, Inc.	2711 Centerville Rd.	 	Wilmington	DE	19808	US	dns-admin@cscglobal.com	1.3026365400 	1.3026365454	 		Not verified	a4.nstld.com	f4.nstld.com	g4.nstld.com	l4.nstld.com	 		
1019elsancho.com	 	com	gTLD	06-Oct-2010	06-Oct-2015	HBC-Radio	Active	Basic DNS	No	 	No	N/A	No	No	No	Clean-Univision Communications	Univision	Communications Inc.	Univision Communications, Inc.	605 Third Avenue, 26th Floor	 	New York	NY	10158	US	dnsadmin@us.univision.com	+1.6464875900 	 	Univision Communications-Admin	Infrastructure	Group	Univision Communications, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+646.4875600 	 	 	DNS	Administrator	CSC Corporate Domains, Inc.	2711 Centerville Rd.	 	Wilmington	DE	19808	US	dns-admin@cscglobal.com	1.3026365400 	1.3026365454	 		Not verified	a4.nstld.com	f4.nstld.com	g4.nstld.com	l4.nstld.com	 		
1019houston.com	 	com	gTLD	31-Mar-2014	31-Mar-2016	HBC-Radio	Active	Basic DNS	No	 	No	N/A	No	No	No	Clean-Univision Communications	Univision	Communications Inc.	Univision Communications, Inc.	605 Third Avenue, 26th Floor	 	New York	NY	10158	US	dnsadmin@us.univision.com	+1.6464875900 	 	Univision Communications-Admin	Infrastructure	Group	Univision Communications, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+646.4875600 	 	Univision Communications-Admin	Infrastructure	Group	Univision Communications, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+646.4875600 	 	 		Not verified	dns1.cscdns.net	dns2.cscdns.net	 	 	 		
1019lajefa.com	 	com	gTLD	19-Jul-2010	19-Jul-2016	HBC-Radio	Active	Basic DNS	No	 	No	N/A	No	No	No	Clean-Univision Communications	Univision	Communications Inc.	Univision Communications, Inc.	605 Third Avenue, 26th Floor	 	New York	NY	10158	US	dnsadmin@us.univision.com	+1.6464875900 	 	Univision Communications-Admin	Infrastructure	Group	Univision Communications, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+646.4875600 	 	 	DNS	Administrator	CSC Corporate Domains, Inc.	2711 Centerville Rd.	 	Wilmington	DE	19808	US	dns-admin@cscglobal.com	1.3026365400 	1.3026365454	 		Not verified	a4.nstld.com	f4.nstld.com	g4.nstld.com	l4.nstld.com	 		
1019lanueva.com	 	com	gTLD	27-May-2009	27-May-2016	HBC-Radio	Active	Basic DNS	No	 	No	N/A	No	No	No	Univision Online, Inc-3	Univision	Online, Inc	Univision Online, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+1.6464875900 	 	Univision Communications-Admin	Infrastructure	Group	Univision Communications, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+1.6464875600 	+1.6464875600	CSC Tech	DNS	Administrator	CSC Corporate Domains, Inc.	2711 Centerville Rd.	 	Wilmington	DE	19808	US	dns-admin@cscglobal.com	+1.3026365400 	+1.3026365454	 		Not verified	a4.nstld.com	f4.nstld.com	g4.nstld.com	l4.nstld.com	 		
1019losangeles.com	 	com	gTLD	31-Mar-2014	31-Mar-2016	HBC-Radio	Active	Basic DNS	No	 	No	N/A	No	No	No	Clean-Univision Communications	Univision	Communications Inc.	Univision Communications, Inc.	605 Third Avenue, 26th Floor	 	New York	NY	10158	US	dnsadmin@us.univision.com	+1.6464875900 	 	Univision Communications-Admin	Infrastructure	Group	Univision Communications, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+646.4875600 	 	Univision Communications-Admin	Infrastructure	Group	Univision Communications, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+646.4875600 	 	 		Not verified	dns1.cscdns.net	dns2.cscdns.net	 	 	 		
1020am.com	 	com	gTLD	27-Sep-2009	29-Jun-2016	HBC-Radio	Active	Basic DNS	No	 	No	N/A	No	No	No	Univision Online, Inc-3	Univision	Online, Inc	Univision Online, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+1.6464875900 	 	Univision Communications-Admin	Infrastructure	Group	Univision Communications, Inc	605 Third Ave	26th Floor	New York	NY	10158	US	dnsadmin@us.univision.com	+1.6464875600 	+1.6464875600	CSC Tech	DNS	Administrator	CSC Corporate Domains, Inc.	2711 Centerville Rd.	 	Wilmington	DE	19808	US	dns-admin@cscglobal.com	+1.3026365400 	+1.3026365454	 		Not verified	a4.nstld.com	f4.nstld.com	g4.nstld.com	l4.nstld.com	 		
