REGEX,DESTINATION
(www\.)?despiertaamerica\.com(.+)?vota,http://univision.ipowow.com/da
(www\.)?despiertaamerica\.com(.+)?nuevohogar,http://uvideos.com/shows/despierta-america/en-tu-nuevo-hogar
(www\.)?despiertaamerica\.com(.+)?entunuevohogar,http://uvideos.com/shows/despierta-america/en-tu-nuevo-hogar
(www\.)?despiertaamerica\.com(.+)?(.*),http://entretenimiento.univision.com/despierta-america?cmpid=vnt:despiertaamerica.com
(www\.)?unimas\.com(.+)?missusa,http://tv.univision.com/shows/unimas/miss-usa/
(www\.)?unimas\.com(.+)?metastasis,http://videos.univision.com/shows/metastasis
(www\.)?unimas\.com(.+)?(.*),http://tv.univision.com/unimas?cmpid=vnt:unimas.com
(www\.)?unimastv\.com(.+)?(.*),http://tv.univision.com/unimas?cmpid=vnt:unimastv.com
(www\.)?unimastelevision\.com(.+)?(.*),http://tv.univision.com/unimas?cmpid=vnt:unimastelevision.com
(www\.)?uvideos\.com(.+)?pabloescobar,http://videos.univision.com/series/pablo-escobar
(www\.)?uvideos\.com(.+)?demente,http://novelasyseries.univision.com/shows/de-mente-criminal/
(www\.)?uvideos\.com(.+)?lamalquerida,http://novelasyseries.univision.com/shows/la-malquerida/
(www\.)?uvideos\.com(.+)?hastaelfin,http://novelasyseries.univision.com/shows/hasta-el-fin-del-mundo/
(www\.)?uvideos\.com(.+)?bocadellobo,http://novelasyseries.univision.com/shows/en-la-boca-del-lobo/
(www\.)?uvideos\.com(.+)?micorazon,http://videos.univision.com/novelas/mi-corazon-es-tuyo
(www\.)?uvideos\.com(.+)?elchivo,http://novelasyseries.univision.com/shows/el-chivo/
(www\.)?uvideos\.com(.+)?da,http://videos.univision.com/programas/despierta-america
(www\.)?uvideos\.com(.+)?despiertaamerica,http://videos.univision.com/programas/despierta-america
(www\.)?uvideos\.com(.+)?lagata,http://videos.univision.com/generos/novelas/la-gata
(www\.)?uvideos\.com(.+)?([N-n]+)ovela(s)?([E-e])?([X-x]+)pres(s)?,http://videos.univision.com/novelas/novelas-xpress
(www\.)?uvideos\.com(.+)?XpressNovelas,http://videos.univision.com/novelas/novelas-xpress
(www\.)?uvideos\.com(.+)?ExpressNovelas,http://videos.univision.com/novelas/novelas-xpress
(www\.)?uvideos\.com(.+)?tirodegracia,http://videos.univision.com/series/tiro-de-gracia
(www\.)?uvideos\.com(.+)?esquinadeldiablo,http://videos.univision.com/series/la-esquina-del-diablo
(www\.)?uvideos\.com(.+)?teperdonedios,http://beta.uvideos.com/novelas/que-te-perdone-dios
juegosenlinea\.univision\.com(.+)?(.*),http://univisionjuegos.miniclip.com/games/es/
bajarjuegos\.univision\.com(.+)?(.*),http://univisionjuegos.miniclip.com/games/es/
juegos\.univision\.com(.+)?(.*),http://univisionjuegos.miniclip.com/games/es/
(www\.)?univisionvideos\.com(.+)?(.*),http://videos.univision.com/?cmpid=vnt:univisionvideos.com
(www\.)?youvideos\.com(.+)?(.*),http://videos.univision.com/?cmpid=vnt:youvideos.com
(www\.)?uvideos\.com(.+)?(.*),http://videos.univision.com/?cmpid=vnt:uvideos.com
correo\.univision\.com(.+)?(.*),http://www.univision.com/correo/
betavideos\.univision\.com(.+)?(.*),http://videos.univision.com/
radio\.univision\.com(.+)?(.*),http://musica.univision.com/radio
(www\.)?univisionradio\.com(.+)?(.*),http://musica.univision.com/radio?cmpid=vnt:univisionradio.com
(www\.)?univisionradio\.net(.+)?(.*),http://musica.univision.com/radio?cmpid=vnt:univisionradio.net
(www\.)?lacallemusic\.com(.+)?(.*),http://musica.univision.com/?cmpid=vnt:lacallemusic.com
(www\.)?lainvasora1077\.com(.+)?(.*),http://musica.univision.com/?cmpid=vnt:lacallemusic.com
(www\.)?lakalle1059\.fm(.+)?(.*),http://musica.univision.com/?cmpid=vnt:lakalle1059.com
(www\.)?premiosjuventud\.com(.+)?moda,http://musica.univision.com/premiosjuventud/moda/
(www\.)?premiosjuventud\.com(.+)?(.*),http://musica.univision.com/shows/premios-juventud/?cmpid=vnt:premiosjuventud.com
(www\.)?univisionlatingrammy\.com(.+)?(.*),http://uvideos.com/especiales/latin-grammy
futbolmls\.univision\.com(.+)?(.*),http://mls.univision.com/
(www\.)?orbita1007\.com(.+)?(.*),http://musica.univision.com/
(www\.)?recuerdo103\.com(.+)?(.*),http://musica.univision.com/
(www\.)?recuerdos1075\.com(.+)?(.*),http://musica.univision.com/
